run_id,timestamp,data_hash,split,seed,feature_set,model,params_ref,fold_auc,oof_auc,test_pred,submission,notes
20260618_165457_lgbm_baseline,20260618_165457,,skf5+timeholdout,42,baseline,lgbm,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260618_165457_lgbm_baseline/config.yaml,0.70930±0.01231,0.70711,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260618_165457_lgbm_baseline/test_pred.npy,,"Phase 1 MVP: id-level aggregates + LightGBM, scale_pos_weight from positive rate."
20260618_170226_lgbm_baseline,20260618_170226,,skf5+timeholdout,42,baseline,lgbm,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260618_170226_lgbm_baseline/config.yaml,0.75483±0.00314,0.75478,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260618_170226_lgbm_baseline/test_pred.npy,,"Phase 1 MVP: id-level aggregates + LightGBM, scale_pos_weight from positive rate."
20260618_172109_lgbm_v2,20260618_172109,,skf5+timeholdout,42,v2,lgbm,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260618_172109_lgbm_v2/config.yaml,0.75486±0.00296,0.75467,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260618_172109_lgbm_v2/test_pred.npy,,Phase 2: baseline + term_gaps + delinq_share + paym_trend blocks. Compare OOF vs lgbm_baseline on identical folds.
20260618_173657_lgbm_v3,20260618_173657,,skf5+timeholdout,42,v3,lgbm,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260618_173657_lgbm_v3/config.yaml,0.75496±0.00295,0.75485,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260618_173657_lgbm_v3/test_pred.npy,,Phase 2: v2 + sentinel-aware term_clean block. Compare OOF vs lgbm_v2 on identical folds to isolate the term_clean effect.
20260618_204844_sequence_gru,20260618_204844,,skf5,42,raw_sequence,sequence,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260618_204844_sequence_gru/config.yaml,0.75524±0.00145,0.75469,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260618_204844_sequence_gru/test_pred.npy,,"Phase 3: GRU over per-id product sequence (rn order), 59 features/step. OOF aligns with GBDT folds for ensembling."
20260618_224057_catboost_baseline,20260618_224057,,skf5+timeholdout,42,baseline,catboost,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260618_224057_catboost_baseline/config.yaml,0.75477±0.00309,0.75475,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260618_224057_catboost_baseline/test_pred.npy,,"Phase 2: CatBoost on baseline aggregates, same folds as lgbm_baseline. For ensemble diversity."
20260618_231431_ens_lgb_cat_seq,20260618_231431,,skf5,,rank_blend,ensemble(20260618_170226_lgbm_baseline+20260618_224057_catboost_baseline+20260618_204844_sequence_gru),,0.76452±0.00286,0.76451,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260618_231431_ens_lgb_cat_seq/test_pred.npy,,"weights={'20260618_170226_lgbm_baseline': 0.2455494254839657, '20260618_224057_catboost_baseline': 0.27835362816266385, '20260618_204844_sequence_gru': 0.4760969463533704}"
20260619_073439_sequence_emb_bigru,20260619_073439,,skf5,42,raw_sequence,sequence,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260619_073439_sequence_emb_bigru/config.yaml,0.78054±0.00243,0.77982,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260619_073439_sequence_emb_bigru/test_pred.npy,,Phase 3 (#1): per-column embeddings + bidirectional GRU over product sequence. Compare OOF vs sequence_gru (scaled-numeric) on same folds.
20260619_122248_ens_lgb_cat_seqemb,20260619_122248,,skf5,,rank_blend,ensemble(20260618_170226_lgbm_baseline+20260618_224057_catboost_baseline+20260619_073439_sequence_emb_bigru),,0.78129±0.00264,0.78079,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260619_122248_ens_lgb_cat_seqemb/test_pred.npy,,"weights={'20260618_170226_lgbm_baseline': 0.060710894620205985, '20260618_224057_catboost_baseline': 0.10068263892710393, '20260619_073439_sequence_emb_bigru': 0.8386064664526902}"
20260619_125622_sequence_emb_attn,20260619_125622,,skf5,42,raw_sequence,sequence,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260619_125622_sequence_emb_attn/config.yaml,0.78039±0.00223,0.77878,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260619_125622_sequence_emb_attn/test_pred.npy,,"Phase 3 #1: attention-pooling + capacity bump (hidden 192, emb 12, max_len 55). Compare OOF vs sequence_emb_bigru (0.7798)."
20260619_174709_stack_ag_oof,20260619_174709,,skf5,,oof_only,stack_ag(20260618_170226_lgbm_baseline+20260618_224057_catboost_baseline+20260619_073439_sequence_emb_bigru+20260619_125622_sequence_emb_attn),,0.78256±0.00251,0.78201,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260619_174709_stack_ag_oof/test_pred.npy,,"AutoGluon medium_quality, bag=5, stack_levels=0"
20260619_180000_ens_lgb_cat_seqemb_attn,20260619_180000,,skf5,,rank_blend,ensemble(20260618_170226_lgbm_baseline+20260618_224057_catboost_baseline+20260619_073439_sequence_emb_bigru+20260619_125622_sequence_emb_attn),,0.78264±0.00250,0.78201,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260619_180000_ens_lgb_cat_seqemb_attn/test_pred.npy,,"weights={'20260618_170226_lgbm_baseline': 0.07768123683545596, '20260618_224057_catboost_baseline': 0.038479166299017646, '20260619_073439_sequence_emb_bigru': 0.49815001191215913, '20260619_125622_sequence_emb_attn': 0.3856895849533674}"
20260619_215442_sequence_emb_bigru_s101,20260619_215442,,skf5,42,raw_sequence,sequence,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260619_215442_sequence_emb_bigru_s101/config.yaml,0.78098±0.00290,0.78056,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260619_215442_sequence_emb_bigru_s101/test_pred.npy,,Phase 3 (#1): per-column embeddings + bidirectional GRU over product sequence. Compare OOF vs sequence_gru (scaled-numeric) on same folds.
20260619_234128_sequence_emb_bigru_s202,20260619_234128,,skf5,42,raw_sequence,sequence,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260619_234128_sequence_emb_bigru_s202/config.yaml,0.78079±0.00273,0.78047,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260619_234128_sequence_emb_bigru_s202/test_pred.npy,,Phase 3 (#1): per-column embeddings + bidirectional GRU over product sequence. Compare OOF vs sequence_gru (scaled-numeric) on same folds.
20260620_064150_sequence_emb_bigru_avg,20260620_064150,,skf5,,raw_sequence,avg_seeds(20260619_073439_sequence_emb_bigru+20260619_215442_sequence_emb_bigru_s101+20260619_234128_sequence_emb_bigru_s202),,0.78279±0.00263,0.78248,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260620_064150_sequence_emb_bigru_avg/test_pred.npy,,mean of 3 seeds (proba); same folds
20260620_064431_ens_lgb_cat_seqavg_attn,20260620_064431,,skf5,,rank_blend,ensemble(20260618_170226_lgbm_baseline+20260618_224057_catboost_baseline+20260620_064150_sequence_emb_bigru_avg+20260619_125622_sequence_emb_attn),,0.78333±0.00252,0.78301,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260620_064431_ens_lgb_cat_seqavg_attn/test_pred.npy,,"weights={'20260618_170226_lgbm_baseline': 0.06865579339720101, '20260618_224057_catboost_baseline': 0.005481686797337268, '20260620_064150_sequence_emb_bigru_avg': 0.7118480480738951, '20260619_125622_sequence_emb_attn': 0.21401447173156657}"
20260620_071952_sequence_emb_transformer,20260620_071952,,skf5,42,raw_sequence,sequence,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260620_071952_sequence_emb_transformer/config.yaml,0.77514±0.00284,0.77447,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260620_071952_sequence_emb_transformer/test_pred.npy,,"Phase 3 #3: per-column embeddings + Transformer encoder (self-attention, learned positions). Same folds as bigru; goal is a decorrelated seq base for the blend."
20260620_094454_ens_5way_seqavg_attn_transf,20260620_094454,,skf5,,rank_blend,ensemble(20260618_170226_lgbm_baseline+20260618_224057_catboost_baseline+20260620_064150_sequence_emb_bigru_avg+20260619_125622_sequence_emb_attn+20260620_071952_sequence_emb_transformer),,0.78362±0.00258,0.78340,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260620_094454_ens_5way_seqavg_attn_transf/test_pred.npy,,"weights={'20260618_170226_lgbm_baseline': 0.0005702504441571169, '20260618_224057_catboost_baseline': 1.7591099918991718e-06, '20260620_064150_sequence_emb_bigru_avg': 0.6248299801673561, '20260619_125622_sequence_emb_attn': 0.16117915912311867, '20260620_071952_sequence_emb_transformer': 0.21341885115537612}"
20260620_102451_sequence_emb_transformer_s101,20260620_102451,,skf5,42,raw_sequence,sequence,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260620_102451_sequence_emb_transformer_s101/config.yaml,0.77569±0.00252,0.77516,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260620_102451_sequence_emb_transformer_s101/test_pred.npy,,"Phase 3 #3: per-column embeddings + Transformer encoder (self-attention, learned positions). Same folds as bigru; goal is a decorrelated seq base for the blend."
20260620_142124_sequence_emb_transformer_avg2,20260620_142124,,skf5,,raw_sequence,avg_seeds(20260620_071952_sequence_emb_transformer+20260620_102451_sequence_emb_transformer_s101),,0.77838±0.00285,0.77824,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260620_142124_sequence_emb_transformer_avg2/test_pred.npy,,mean of 2 seeds (proba); same folds
20260620_142406_ens_5way_seqavg_attn_transfavg2,20260620_142406,,skf5,,rank_blend,ensemble(20260618_170226_lgbm_baseline+20260618_224057_catboost_baseline+20260620_064150_sequence_emb_bigru_avg+20260619_125622_sequence_emb_attn+20260620_142124_sequence_emb_transformer_avg2),,0.78391±0.00258,0.78370,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260620_142406_ens_5way_seqavg_attn_transfavg2/test_pred.npy,,"weights={'20260618_170226_lgbm_baseline': 0.0030580121976607998, '20260618_224057_catboost_baseline': 0.03583181488325976, '20260620_064150_sequence_emb_bigru_avg': 0.5328666260573137, '20260619_125622_sequence_emb_attn': 0.19883318835663277, '20260620_142124_sequence_emb_transformer_avg2': 0.22941035850513294}"
20260620_130534_sequence_emb_transformer_s202,20260620_130534,,skf5,42,raw_sequence,sequence,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260620_130534_sequence_emb_transformer_s202/config.yaml,0.77587±0.00347,0.77468,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260620_130534_sequence_emb_transformer_s202/test_pred.npy,,"Phase 3 #3: per-column embeddings + Transformer encoder (self-attention, learned positions). Same folds as bigru; goal is a decorrelated seq base for the blend."
20260620_153505_sequence_emb_transformer_avg3,20260620_153505,,skf5,,raw_sequence,avg_seeds(20260620_071952_sequence_emb_transformer+20260620_102451_sequence_emb_transformer_s101+20260620_130534_sequence_emb_transformer_s202),,0.77978±0.00315,0.77955,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260620_153505_sequence_emb_transformer_avg3/test_pred.npy,,mean of 3 seeds (proba); same folds
20260620_153734_ens_5way_seqavg_attn_transfavg3,20260620_153734,,skf5,,rank_blend,ensemble(20260618_170226_lgbm_baseline+20260618_224057_catboost_baseline+20260620_064150_sequence_emb_bigru_avg+20260619_125622_sequence_emb_attn+20260620_153505_sequence_emb_transformer_avg3),,0.78410±0.00273,0.78391,/Users/bobrsubr/PycharmProjects/_researches/credit-default-prediction/artifacts/20260620_153734_ens_5way_seqavg_attn_transfavg3/test_pred.npy,,"weights={'20260618_170226_lgbm_baseline': 0.02742723999995933, '20260618_224057_catboost_baseline': 0.0001271626477790081, '20260620_064150_sequence_emb_bigru_avg': 0.534910077219162, '20260619_125622_sequence_emb_attn': 0.11954974211570572, '20260620_153505_sequence_emb_transformer_avg3': 0.31798577801739397}"
